Head to head statistics:

   1) baseline.pb.gz            2539 :  12748000 (+9614667,=286202,-2847131),  76.5 %

      vs.                             :     games (       +,      =,       -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  416, 32, 1552),  21.6 :   -222,    5,    0.0
      weights_run2_700970.pb.gz       :   2000 (  965, 21, 1014),  48.8 :    -12,    6,    1.5
      weights_run2_700972.pb.gz       :   2000 (  984, 24,  992),  49.8 :     -0,    5,   48.3

3384) weights_run2_700444.pb.gz 2317 :   6000 (+2486,=66,-3448),  42.0 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  401, 18, 1581),  20.5 :   -222,    6,    0.0
      weights_run2_700445.pb.gz       :   2000 ( 1022,  9,  969),  51.3 :    +10,    6,   94.6
      weights_run2_700443.pb.gz       :   2000 ( 1063, 39,  898),  54.1 :    +18,    7,   99.6

3385) weights_run3_714213.pb.gz 2317 :   6000 (+2257,=56,-3687),  38.1 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  404, 11, 1585),  20.5 :   -222,    6,    0.0
      weights_run3_714212.pb.gz       :   2000 (  870, 29, 1101),  44.2 :    -29,    5,    0.0
      weights_run3_714214.pb.gz       :   2000 (  983, 16, 1001),  49.5 :    -25,    6,    0.0

3386) weights_run3_714156.pb.gz 2317 :   6000 (+2331,=85,-3584),  39.6 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  421, 31, 1548),  21.8 :   -222,    6,    0.0
      weights_run3_714157.pb.gz       :   2000 (  932, 37, 1031),  47.5 :    -17,    6,    0.1
      weights_run3_714155.pb.gz       :   2000 (  978, 17, 1005),  49.3 :     -6,    6,   17.3

3387) weights_run3_714149.pb.gz 2317 :   6000 (+2489,=83,-3428),  42.2 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  411, 21, 1568),  21.1 :   -222,    6,    0.0
      weights_run3_714150.pb.gz       :   2000 ( 1005, 47,  948),  51.4 :     +5,    7,   79.4
      weights_run3_714148.pb.gz       :   2000 ( 1073, 15,  912),  54.0 :    +27,    6,  100.0

3388) weights_run2_591045.pb.gz 2317 :   6000 (+2072,=725,-3203),  40.6 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  395,  91, 1514),  22.0 :   -222,    5,    0.0
      weights_run2_591046.pb.gz       :   2000 (  829, 316,  855),  49.4 :     -4,    5,   20.6
      weights_run2_591044.pb.gz       :   2000 (  848, 318,  834),  50.4 :     +3,    6,   68.2

3389) weights_run2_701015.pb.gz 2316 :   6000 (+2391,=89,-3520),  40.6 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  440, 20, 1540),  22.5 :   -223,    6,    0.0
      weights_run2_701016.pb.gz       :   2000 (  957, 36, 1007),  48.8 :     -3,    6,   30.3
      weights_run2_701014.pb.gz       :   2000 (  994, 33,  973),  50.5 :     +2,    6,   63.3

3390) weights_run2_700851.pb.gz 2316 :   6000 (+2432,=74,-3494),  41.1 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  445, 32, 1523),  23.1 :   -223,    5,    0.0
      weights_run2_700852.pb.gz       :   2000 (  998, 17,  985),  50.3 :     +2,    6,   64.8
      weights_run2_700850.pb.gz       :   2000 (  989, 25,  986),  50.1 :     +9,    6,   92.6

3391) weights_run2_701032.pb.gz 2316 :   6000 (+2404,=103,-3493),  40.9 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  379,  26, 1595),  19.6 :   -223,    6,    0.0
      weights_run2_701031.pb.gz       :   2000 (  981,  42,  977),  50.1 :    -13,    5,    0.6
      weights_run2_701033.pb.gz       :   2000 ( 1044,  35,  921),  53.1 :    +19,    6,  100.0

3392) weights_run2_700881.pb.gz 2316 :   6000 (+2437,=67,-3496),  41.2 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  431, 32, 1537),  22.4 :   -223,    6,    0.0
      weights_run2_700882.pb.gz       :   2000 ( 1013, 15,  972),  51.0 :     +4,    6,   77.2
      weights_run2_700880.pb.gz       :   2000 (  993, 20,  987),  50.1 :     +7,    7,   83.6

3393) weights_run2_700953.pb.gz 2316 :   6000 (+2415,=106,-3479),  41.1 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  452,  45, 1503),  23.7 :   -223,    6,    0.0
      weights_run2_700952.pb.gz       :   2000 (  965,  27, 1008),  48.9 :     +4,    7,   73.3
      weights_run2_700954.pb.gz       :   2000 (  998,  34,  968),  50.8 :     +6,    6,   86.3

3394) weights_run2_701029.pb.gz 2316 :   6000 (+2333,=112,-3555),  39.8 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  428,  29, 1543),  22.1 :   -223,    6,    0.0
      weights_run2_701030.pb.gz       :   2000 (  932,  40, 1028),  47.6 :    -16,    6,    0.2
      weights_run2_701028.pb.gz       :   2000 (  973,  43,  984),  49.7 :     -1,    6,   44.5

3395) weights_run3_714173.pb.gz 2316 :   6000 (+2329,=73,-3598),  39.4 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  434, 24, 1542),  22.3 :   -223,    6,    0.0
      weights_run3_714174.pb.gz       :   2000 (  932, 29, 1039),  47.3 :    -29,    6,    0.0
      weights_run3_714172.pb.gz       :   2000 (  963, 20, 1017),  48.6 :     +3,    6,   72.2

3396) weights_run2_591092.pb.gz 2316 :   6000 (+2123,=624,-3253),  40.6 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  379, 117, 1504),  21.9 :   -223,    6,    0.0
      weights_run2_591091.pb.gz       :   2000 (  831, 272,  897),  48.4 :     -6,    7,   18.3
      weights_run2_591093.pb.gz       :   2000 (  913, 235,  852),  51.5 :     +5,    7,   76.4

3397) weights_run3_714195.pb.gz 2316 :   6000 (+2360,=90,-3550),  40.1 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  445, 22, 1533),  22.8 :   -223,    6,    0.0
      weights_run3_714196.pb.gz       :   2000 (  945, 40, 1015),  48.3 :     -7,    6,   12.4
      weights_run3_714194.pb.gz       :   2000 (  970, 28, 1002),  49.2 :     -5,    6,   20.6

3398) weights_run2_591087.pb.gz 2316 :   6000 (+2035,=865,-3100),  41.1 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  400, 111, 1489),  22.8 :   -223,    6,    0.0
      weights_run2_591088.pb.gz       :   2000 (  780, 394,  826),  48.9 :     +1,    6,   54.7
      weights_run2_591086.pb.gz       :   2000 (  855, 360,  785),  51.8 :    +10,    6,   95.3

3399) weights_run2_700967.pb.gz 2316 :   6000 (+2356,=102,-3542),  40.1 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  434,  36, 1530),  22.6 :   -223,    5,    0.0
      weights_run2_700968.pb.gz       :   2000 (  950,  22, 1028),  48.0 :     -9,    6,    6.0
      weights_run2_700966.pb.gz       :   2000 (  972,  44,  984),  49.7 :     -2,    6,   38.3

3400) weights_run2_591095.pb.gz 2316 :   6000 (+2194,=583,-3223),  41.4 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  418,  80, 1502),  22.9 :   -223,    6,    0.0
      weights_run2_591094.pb.gz       :   2000 (  892, 246,  862),  50.8 :     +3,    7,   69.6
      weights_run2_591096.pb.gz       :   2000 (  884, 257,  859),  50.6 :    +13,    7,   98.0

3401) weights_run2_591097.pb.gz 2316 :   6000 (+2217,=624,-3159),  42.1 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  397,  80, 1523),  21.9 :   -223,    5,    0.0
      weights_run2_591096.pb.gz       :   2000 (  951, 236,  813),  53.5 :    +13,    6,   99.1
      weights_run2_591098.pb.gz       :   2000 (  869, 308,  823),  51.1 :    +19,    6,  100.0

3402) weights_run2_700975.pb.gz 2316 :   6000 (+2352,=104,-3544),  40.1 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  437,  32, 1531),  22.6 :   -223,    6,    0.0
      weights_run2_700974.pb.gz       :   2000 (  962,  47,  991),  49.3 :     -7,    6,   11.7
      weights_run2_700976.pb.gz       :   2000 (  953,  25, 1022),  48.3 :     -5,    6,   22.7

3403) weights_run2_700942.pb.gz 2316 :   6000 (+2412,=54,-3534),  40.6 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  420, 18, 1562),  21.4 :   -223,    5,    0.0
      weights_run2_700941.pb.gz       :   2000 (  997,  9,  994),  50.1 :     -2,    6,   38.1
      weights_run2_700943.pb.gz       :   2000 (  995, 27,  978),  50.4 :     +3,    6,   66.2

3404) weights_run3_714202.pb.gz 2316 :   6000 (+2304,=105,-3591),  39.3 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  426,  12, 1562),  21.6 :   -223,    5,    0.0
      weights_run3_714203.pb.gz       :   2000 (  914,  55, 1031),  47.1 :    -20,    6,    0.0
      weights_run3_714201.pb.gz       :   2000 (  964,  38,  998),  49.1 :     -9,    7,    9.7

3405) weights_run2_701036.pb.gz 2315 :   6000 (+2358,=120,-3522),  40.3 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  435,  49, 1516),  23.0 :   -223,    5,    0.0
      weights_run2_701035.pb.gz       :   2000 (  939,  27, 1034),  47.6 :    -14,    5,    0.3
      weights_run2_701037.pb.gz       :   2000 (  984,  44,  972),  50.3 :     +8,    6,   90.4

3406) weights_run2_591103.pb.gz 2315 :   6000 (+2130,=785,-3085),  42.0 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  409,  76, 1515),  22.4 :   -224,    6,    0.0
      weights_run2_591102.pb.gz       :   2000 (  871, 328,  801),  51.8 :     +9,    6,   91.5
      weights_run2_591104.pb.gz       :   2000 (  850, 381,  769),  52.0 :    +21,    6,  100.0

3407) weights_run2_700498.pb.gz 2315 :   6000 (+2525,=98,-3377),  42.9 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  395, 33, 1572),  20.6 :   -224,    6,    0.0
      weights_run2_700499.pb.gz       :   2000 ( 1057, 42,  901),  53.9 :    +14,    6,   99.1
      weights_run2_700497.pb.gz       :   2000 ( 1073, 23,  904),  54.2 :    +35,    6,  100.0

3408) weights_run3_714153.pb.gz 2315 :   6000 (+2432,=62,-3506),  41.0 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  421, 27, 1552),  21.7 :   -224,    6,    0.0
      weights_run3_714154.pb.gz       :   2000 ( 1004, 21,  975),  50.7 :     +4,    7,   74.6
      weights_run3_714152.pb.gz       :   2000 ( 1007, 14,  979),  50.7 :     +5,    6,   78.4

3409) weights_run3_714158.pb.gz 2315 :   6000 (+2365,=63,-3572),  39.9 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  417, 13, 1570),  21.2 :   -224,    5,    0.0
      weights_run3_714157.pb.gz       :   2000 (  921, 21, 1058),  46.6 :    -19,    5,    0.0
      weights_run3_714159.pb.gz       :   2000 ( 1027, 29,  944),  52.1 :     +5,    6,   80.5

3410) weights_run2_591088.pb.gz 2315 :   6000 (+2046,=820,-3134),  40.9 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  376,  90, 1534),  21.1 :   -224,    7,    0.0
      weights_run2_591087.pb.gz       :   2000 (  826, 394,  780),  51.1 :     -1,    6,   45.3
      weights_run2_591089.pb.gz       :   2000 (  844, 336,  820),  50.6 :     +8,    6,   89.0

3411) weights_run2_700985.pb.gz 2315 :   6000 (+2466,=77,-3457),  41.7 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  447, 39, 1514),  23.3 :   -224,    6,    0.0
      weights_run2_700984.pb.gz       :   2000 (  990, 17,  993),  49.9 :     +8,    6,   92.4
      weights_run2_700986.pb.gz       :   2000 ( 1029, 21,  950),  52.0 :    +16,    6,   99.6

3412) weights_run2_701586.pb.gz 2315 :   6000 (+2402,=223,-3375),  41.9 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  391,  82, 1527),  21.6 :   -224,    6,    0.0
      weights_run2_701587.pb.gz       :   2000 ( 1006,  59,  935),  51.8 :     +8,    6,   90.2
      weights_run2_701585.pb.gz       :   2000 ( 1005,  82,  913),  52.3 :    +19,    5,  100.0

3413) weights_run2_700490.pb.gz 2315 :   6000 (+2439,=119,-3442),  41.6 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  445,  27, 1528),  22.9 :   -224,    6,    0.0
      weights_run2_700489.pb.gz       :   2000 (  980,  54,  966),  50.4 :     +9,    7,   91.3
      weights_run2_700491.pb.gz       :   2000 ( 1014,  38,  948),  51.6 :    +13,    6,   97.7

3414) weights_run2_701044.pb.gz 2315 :   6000 (+2362,=116,-3522),  40.3 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  423,  18, 1559),  21.6 :   -224,    6,    0.0
      weights_run2_701045.pb.gz       :   2000 (  989,  51,  960),  50.7 :     -3,    6,   30.0
      weights_run2_701043.pb.gz       :   2000 (  950,  47, 1003),  48.7 :     -2,    5,   34.1

3415) weights_run2_591076.pb.gz 2315 :   6000 (+2181,=633,-3186),  41.6 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  364,  74, 1562),  20.1 :   -224,    5,    0.0
      weights_run2_591077.pb.gz       :   2000 (  920, 265,  815),  52.6 :     +8,    6,   92.5
      weights_run2_591075.pb.gz       :   2000 (  897, 294,  809),  52.2 :    +13,    6,   98.2

3416) weights_run2_590990.pb.gz 2315 :   6000 (+2022,=907,-3071),  41.3 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  400,  72, 1528),  21.8 :   -224,    6,    0.0
      weights_run2_590991.pb.gz       :   2000 (  818, 378,  804),  50.4 :     -5,    6,   17.5
      weights_run2_590989.pb.gz       :   2000 (  804, 457,  739),  51.6 :    +19,    6,  100.0

3417) weights_run2_700988.pb.gz 2315 :   6000 (+2395,=72,-3533),  40.5 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  451, 25, 1524),  23.2 :   -224,    6,    0.0
      weights_run2_700987.pb.gz       :   2000 (  914, 12, 1074),  46.0 :    -10,    6,    4.5
      weights_run2_700989.pb.gz       :   2000 ( 1030, 35,  935),  52.4 :     +9,    6,   92.7

3418) weights_run2_590979.pb.gz 2315 :   6000 (+2060,=900,-3040),  41.8 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  364, 123, 1513),  21.3 :   -224,    6,    0.0
      weights_run2_590980.pb.gz       :   2000 (  845, 375,  780),  51.6 :    +12,    7,   96.2
      weights_run2_590978.pb.gz       :   2000 (  851, 402,  747),  52.6 :    +14,    7,   97.7

3419) weights_run2_701569.pb.gz 2315 :   6000 (+2376,=267,-3357),  41.8 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  400,  66, 1534),  21.6 :   -224,    5,    0.0
      weights_run2_701568.pb.gz       :   2000 (  995,  85,  920),  51.9 :     +7,    5,   91.4
      weights_run2_701570.pb.gz       :   2000 (  981, 116,  903),  52.0 :    +19,    5,  100.0

3420) weights_run2_701014.pb.gz 2315 :   6000 (+2328,=98,-3574),  39.6 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  412, 46, 1542),  21.8 :   -224,    5,    0.0
      weights_run2_701013.pb.gz       :   2000 (  943, 19, 1038),  47.6 :    -18,    6,    0.1
      weights_run2_701015.pb.gz       :   2000 (  973, 33,  994),  49.5 :     -2,    6,   36.7

3421) weights_run2_700446.pb.gz 2314 :   6000 (+2457,=57,-3486),  41.4 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  396, 25, 1579),  20.4 :   -225,    6,    0.0
      weights_run2_700445.pb.gz       :   2000 ( 1032, 16,  952),  52.0 :     +7,    6,   88.8
      weights_run2_700447.pb.gz       :   2000 ( 1029, 16,  955),  51.9 :    +11,    5,   98.4
